SUPPLIER-F;RUT-F;CONTRACT;INVOICE-F;DOCUMENT TYPE;RELATION;CLAUSE;;
IDOM CONSULTING, ENGINEERING, ARCHITECTURE S.A AGENCIA EN CHILE;59171740;DEV-IDOM-2022-001;3076;;;;;
IDOM CONSULTING, ENGINEERING, ARCHITECTURE S.A AGENCIA EN CHILE;59171740;DEV-IDOM-2022-001;3077;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2021-001;3;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2021-001;4;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2021-001;5;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2021-001;6;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2021-001;7;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2022-002;8;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2021-001;8;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2022-002;9;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2021-001;9;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2022-002;10;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2021-001;10;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2021-001;11;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2021-001;12;;;;;
CHINA RAILWAY CONSTRUCCION CORPORATION (INTERNATIONAL) LIMITED;59296220;CON-CRCC-2022-002;12;;;;;
