CAT-SUB-BID;COST-BID;DATE-BID
100;12951;01-04-2021
100;14187;01-05-2021
100;14187;01-06-2021
100;47665;01-07-2021
100;41030;01-08-2021
100;41923;01-09-2021
100;41633;01-10-2021
100;41272;01-11-2021
100;41272;01-12-2021
100;42204;01-01-2022
100;42204;01-02-2022
100;42204;01-03-2022
100;31491;01-04-2022
100;30602;01-05-2022
100;30645;01-06-2022
100;31923;01-07-2022
100;31923;01-08-2022
100;44647;01-09-2022
100;44647;01-10-2022
100;39552;01-11-2022
100;39552;01-12-2022
100;38663;01-01-2023
100;38663;01-02-2023
100;264434;01-03-2023
100;34950;01-04-2023
100;34950;01-05-2023
100;34950;01-06-2023
100;34950;01-07-2023
100;34950;01-08-2023
100;34950;01-09-2023
100;34950;01-10-2023
100;34950;01-11-2023
100;34950;01-12-2023
100;34950;01-01-2024
100;34950;01-02-2024
100;288611;01-03-2024
100;62185;01-04-2024
100;62185;01-05-2024
100;62071;01-06-2024
100;62071;01-07-2024
100;62071;01-08-2024
100;144807;01-09-2024
100;144807;01-10-2024
100;144807;01-11-2024
100;144807;01-12-2024
100;144921;01-01-2025
100;144921;01-02-2025
100;370692;01-03-2025
100;168504;01-04-2025
100;167227;01-05-2025
100;167227;01-06-2025
100;167227;01-07-2025
100;167227;01-08-2025
100;323505;01-09-2025
100;323505;01-10-2025
100;323505;01-11-2025
100;323505;01-12-2025
100;434968;01-01-2026
100;434968;01-02-2026
100;434968;01-03-2026
100;431648;01-04-2026
100;431648;01-05-2026
100;431648;01-06-2026
100;278434;01-07-2026
100;278434;01-08-2026
100;278434;01-09-2026
100;278434;01-10-2026
100;350828;01-11-2026
100;350828;01-12-2026
100;350828;01-01-2027
100;350828;01-02-2027
100;350828;01-03-2027
100;333443;01-04-2027
100;333443;01-05-2027
100;333443;01-06-2027
100;333443;01-07-2027
100;333443;01-08-2027
100;109367;01-09-2027
100;109367;01-10-2027
100;109367;01-11-2027
100;109367;01-12-2027
100;109367;01-01-2028
100;109367;01-02-2028
100;109367;01-03-2028
100;111277;01-04-2028
100;111277;01-05-2028
100;111277;01-06-2028
100;111277;01-07-2028
100;111277;01-08-2028
100;0;01-09-2028
100;0;01-10-2028
100;0;01-11-2028
100;0;01-12-2028
100;0;01-01-2029
100;0;01-02-2029
100;0;01-03-2029
100;0;01-04-2029
100;0;01-05-2029
100;0;01-06-2029
100;0;01-07-2029
100;0;01-08-2029
100;0;01-09-2029
100;0;01-10-2029
100;0;01-11-2029
100;0;01-12-2029
100;0;01-01-2030
100;0;01-02-2030
100;0;01-03-2030
100;0;01-04-2030
100;0;01-05-2030
100;0;01-06-2030
100;0;01-07-2030
100;0;01-08-2030
100;0;01-09-2030
100;0;01-10-2030
100;0;01-11-2030
100;0;01-12-2030
100;0;01-01-2031
100;0;01-02-2031
100;0;01-03-2031
100;0;01-04-2031
100;0;01-05-2031
100;0;01-06-2031
100;0;01-07-2031
100;0;01-08-2031
100;0;01-09-2031
100;0;01-10-2031
100;0;01-11-2031
100;0;01-12-2031
100;0;01-01-2032
100;0;01-02-2032
100;0;01-03-2032
100;0;01-04-2032
100;0;01-05-2032
100;0;01-06-2032
100;0;01-07-2032
100;0;01-08-2032
100;0;01-09-2032
100;0;01-10-2032
100;0;01-11-2032
100;0;01-12-2032
100;0;01-01-2033
100;0;01-02-2033
100;0;01-03-2033
100;0;01-04-2033
100;0;01-05-2033
100;0;01-06-2033
100;0;01-07-2033
100;0;01-08-2033
100;0;01-09-2033
100;0;01-10-2033
100;0;01-11-2033
100;0;01-12-2033
100;0;01-01-2034
100;0;01-02-2034
100;0;01-03-2034
103;19773;01-04-2021
103;19773;01-05-2021
103;19773;01-06-2021
103;19773;01-07-2021
103;19773;01-08-2021
103;19773;01-09-2021
103;19773;01-10-2021
103;19773;01-11-2021
103;19773;01-12-2021
103;15386;01-01-2022
103;15386;01-02-2022
103;15386;01-03-2022
103;15386;01-04-2022
103;15386;01-05-2022
103;15386;01-06-2022
103;15386;01-07-2022
103;15386;01-08-2022
103;15386;01-09-2022
103;15386;01-10-2022
103;15386;01-11-2022
103;15386;01-12-2022
103;6366;01-01-2023
103;6366;01-02-2023
103;6366;01-03-2023
103;6366;01-04-2023
103;6366;01-05-2023
103;6366;01-06-2023
103;6366;01-07-2023
103;6366;01-08-2023
103;6366;01-09-2023
103;6366;01-10-2023
103;6366;01-11-2023
103;6366;01-12-2023
103;6366;01-01-2024
103;6366;01-02-2024
103;6366;01-03-2024
103;6366;01-04-2024
103;6366;01-05-2024
103;6366;01-06-2024
103;6366;01-07-2024
103;6366;01-08-2024
103;6366;01-09-2024
103;6366;01-10-2024
103;6366;01-11-2024
103;6366;01-12-2024
103;6366;01-01-2025
103;6366;01-02-2025
103;6366;01-03-2025
103;6366;01-04-2025
103;6366;01-05-2025
103;6366;01-06-2025
103;6366;01-07-2025
103;6366;01-08-2025
103;6366;01-09-2025
103;6366;01-10-2025
103;6366;01-11-2025
103;6366;01-12-2025
103;1052;01-01-2026
103;1052;01-02-2026
103;1052;01-03-2026
103;1052;01-04-2026
103;1052;01-05-2026
103;1052;01-06-2026
103;1052;01-07-2026
103;1052;01-08-2026
103;1052;01-09-2026
103;1052;01-10-2026
